part,motion,mass_screen_kg,com_x_mm,com_y_mm,com_z_mm,material,basis,release
IdlerCapNut__1_530,pitch,0.0005855971923868145,487.17481796281635,-3.999999999999999,1061.1145204066825,Steel M3 locknut envelope,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerCapBolt__1_559,pitch,0.0011450304705256712,514.4259039656075,-9.81449989096459,1071.0331045631267,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
IdlerCapNut__1_559,pitch,0.0005855971923868154,514.4259039656076,-3.999999999999999,1071.0331045631267,Steel M3 locknut envelope,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerInnerRaceSpacer__1,pitch,0.0004684452367712671,503.32232813455914,-14.0,1060.606666831852,Metal spacer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerShaftCollar__1,pitch,0.001017102009873062,503.32232813455903,-16.500000000000004,1060.606666831852,Purchased5mm split shaft collar,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
Idler625Bearing_1,pitch,0.007121008797983811,503.322328134559,10.5,1060.606666831852,Purchased sealed ball bearing,solid geometry × assumed density; print mass is an upper screen,"Nominal 5×16×5 mm; races, seals and clearance not modeled"
IdlerBearingCap_1,pitch,0.004143429601861528,502.3238949970762,7.0,1060.092162548151,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerCapBolt_1_530,pitch,0.0011450304705256842,487.1748179628163,9.814499890964596,1061.1145204066822,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
IdlerCapNut_1_530,pitch,0.0005855971923868145,487.17481796281635,4.0,1061.1145204066825,Steel M3 locknut envelope,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerCapBolt_1_559,pitch,0.001145030470525681,514.4259039656076,9.814499890964587,1071.0331045631267,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
IdlerCapNut_1_559,pitch,0.0005855971923868154,514.4259039656076,4.000000000000001,1071.0331045631267,Steel M3 locknut envelope,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerInnerRaceSpacer_1,pitch,0.0004684452367712671,503.32232813455914,13.999999999999996,1060.606666831852,Metal spacer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerShaftCollar_1,pitch,0.001017102009873062,503.32232813455903,16.500000000000004,1060.606666831852,Purchased5mm split shaft collar,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerShaft5,pitch,0.006165375582669957,503.32232813455903,-2.89501155006102e-16,1060.606666831852,Ground steel5mm shaft,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerClampBolt_496__30_05,pitch,0.0027141463005053035,466.1265302558727,-30.05,1019.5348659941491,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
IdlerClampWasher_496__30_05,pitch,0.00029963725331776304,463.8986109925263,-30.05,1025.6560238625616,Steel washer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerClampNut_496__30_05,pitch,0.0011473835401049992,468.99471112807885,-30.050000000000008,1011.6546038128515,Steel M4 locknut envelope,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerClampBolt_496_30_05,pitch,0.0027141463005053035,466.1265302558727,30.049999999999997,1019.5348659941491,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
IdlerClampWasher_496_30_05,pitch,0.00029963725331776304,463.8986109925263,30.050000000000004,1025.6560238625616,Steel washer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerClampNut_496_30_05,pitch,0.0011473835401050003,468.9947111280787,30.049999999999997,1011.6546038128514,Steel M4 locknut envelope,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerClampBolt_514__30_05,pitch,0.002714146300505297,483.04099743001916,-30.05,1025.6912285740111,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
IdlerClampWasher_514__30_05,pitch,0.00029963725331776006,480.8130781666727,-30.049999999999994,1031.8123864424235,Steel washer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerClampNut_514__30_05,pitch,0.0011473835401050096,485.90917830222514,-30.050000000000004,1017.8109663927136,Steel M4 locknut envelope,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerClampBolt_514_30_05,pitch,0.002714146300505297,483.04099743001916,30.05,1025.6912285740111,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
IdlerClampWasher_514_30_05,pitch,0.00029963725331776006,480.8130781666727,30.049999999999997,1031.8123864424235,Steel washer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerClampNut_514_30_05,pitch,0.00114738354010501,485.90917830222526,30.05,1017.8109663927136,Steel M4 locknut envelope,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ElectronicsTray,stationary,0.11449643530786813,-79.99999999999993,-99.99999999999984,29.046865623283505,ASA/PETG,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ElectronicsLid,stationary,0.02604,-80.00000000000003,-100.00000000000001,65.0,PETG,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
EmergencyStopEnvelope,stationary,0.08,111.99999999999999,-112.00000000000001,20.000000000000004,Purchased latching mushroom,"explicit allowance, not supplier verified",Detailed stock geometry; fits still require coupons
YawBeltGuardEnvelope,stationary,0.1177039653418805,-42.42499380114954,-26.314236661472496,485.9999999999997,PETG/clear polycarbonate,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchBeltGuardEnvelope,yaw,0.10824,-62.00000000000001,251.00000000000003,810.5,PETG/clear polycarbonate,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawCableServiceLoopEnvelope,yaw,0.0,5.067507397029873e-15,6.6719456822020286e-15,534.9999999999999,Cable exclusion corridor,"explicit allowance, not supplier verified",Routing envelope only; bend radius/strain relief and loop sweep not yet validated
